"Full Address",Purchase Price,Bedrooms,Bathrooms,Square Feet
"3012 Cornell St, Des Moines, IA 50313",120000,2,1,852
"2812 Cleveland Ave, Des Moines, IA 50317",125000,2,1,808
"900 26th St, Des Moines, IA 50312",95000,2,1,1029
"2510 Maple St, Des Moines, IA 50317",124900,2,1,1008
"3633 Bowdoin St, Des Moines, IA 50313",89700,2,2,960
"1112 Fremont St, Des Moines, IA 50316",69000,2,1,1008
"1424 Arthur Ave, Des Moines, IA 50316",125500,2,1,752
"1902 Francis Ave, Des Moines, IA 50314",138500,2,1,985
"810 SE 10th St, Des Moines, IA 50309",89900,2,1,752
"3615 Cambridge St, Des Moines, IA 50313",139950,2,1,816
"1054 14th St, Des Moines, IA 50314",109900,2,1,984
"2057 Maple St, Des Moines, IA 50317",125000,2,1,780
"2720 Glover Ave, Des Moines, IA 50315",127500,2,1,784
"206 Fulton Dr, Des Moines, IA 50315",139000,2,1,790
"1341 Clark St, Des Moines, IA 50314",140000,2,1,884
"5407 SW 9th St, Des Moines, IA 50315",111500,2,1,768
"3525 Center St, Des Moines, IA 50312",130000,2,3,1260
"1251 10th St, Des Moines, IA 50314",78000,2,1,938
"3832 15th St, Des Moines, IA 50313",150000,2,3,910
"3829 1st St, Des Moines, IA 50313",134900,2,2,750
"4149 56th St, Des Moines, IA 50310",130000,2,1,1000
"2327 Amherst St, Des Moines, IA 50313",149900,2,1,842
"2609 School St, Des Moines, IA 50311",130000,2,2,1053
"1159 18th St, Des Moines, IA 50314",95000,2,1,1029
"1144 Euclid Ave, Des Moines, IA 50313",149900,2,1,778
"1834 E Park Ave, Des Moines, IA 50320",127500,2,1,952