Full Address,Bedrooms,Bathrooms,Square Feet,Built In,Purchase Price,Has Had Price Reductions
"4106 53rd St, Des Moines, IA 50310",3,3,1356,1958,269900,No
"2725 Lynner Dr, Des Moines, IA 50310",3,2,1388,1960,260000,No
"3201 Cleveland Ave, Des Moines, IA 50317",4,1,1455,1939,89000,No
"1712 34th St, Des Moines, IA 50310",3,1,1104,1941,231000,Yes
"6905 SW 16th St, Des Moines, IA 50315",3,1,1349,1950,210000,No
"3901 S Union St, Des Moines, IA 50315",3,2,1456,1966,265000,No
"2711 Des Moines St, Des Moines, IA 50317",3,1,1248,1931,225000,No
"3836 8th Pl, Des Moines, IA 50313",3,2,1369,1928,260000,No
"3215 7th St, Des Moines, IA 50313",4,2,2881,1896,149900,No
"7105 SE 27th St, Des Moines, IA 50320",4,3,1372,2002,295900,No
"4009 Columbia St, Des Moines, IA 50313",4,2,1382,1956,259000,No
"3215 54th St, Des Moines, IA 50310",3,1,1348,1947,270000,No
"4129 5th Ave, Des Moines, IA 50313",2,1,1032,1920,177500,Yes
"829 29th St, Des Moines, IA 50312",2,1,1567,1915,222000,Yes
"4125 SE 22nd St, Des Moines, IA 50320",3,3,1393,1990,289900,No
"4001 42nd St, Des Moines, IA 50310",2,2,1052,1928,189000,Yes
"2548 Onawa St, Des Moines, IA 50317",3,2,1120,2025,277900,Yes
"1324 Army Post Rd, Des Moines, IA 50315",3,1,1191,1954,200000,No
"126 E Maxwelton Dr, Des Moines, IA 50315",3,1,1178,1966,179900,Yes
"800 E Sheridan Ave, Des Moines, IA 50316",4,1,1461,1923,199000,No
"6002 Rollins Ave, Des Moines, IA 50312",3,1,1378,1948,275000,No
"1728 Northwest Dr, Des Moines, IA 50310",3,1,1380,1917,229900,Yes
"2711 Des Moines St, Des Moines, IA 50317",3,1,1248,1931,225000,No
"4001 42nd St, Des Moines, IA 50310",2,2,1052,1928,189000,Yes
"1944 SW 1st St, Des Moines, IA 50315",4,1,1244,1934,175000,No
"1162 13th St, Des Moines, IA 50314",3,1,1344,1914,178000,No
"4020 11th Pl, Des Moines, IA 50313",3,1,1637,1928,230000,No
"3822 SW 2nd St, Des Moines, IA 50315",2,2,1220,1955,198000,No
"4125 57th St, Des Moines, IA 50310",4,1,1192,1947,189900,No
"6330 Center St, Des Moines, IA 50312",2,2,1016,1953,250000,No
"1609 12th St, Des Moines, IA 50314",3,2,1520,1896,249000,No
"3515 SW 27th St, Des Moines, IA 50321",4,4,3059,1973,210000,No